id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,547.125,83.5,459.925,80.97,3.668,16.332,↓
2,БДДР,Бели Искър,15.08,1.4,9.253,61.36,7.853,57.4,0.637,1.101,↓
3,БДДР,Среченска бара,15.5,1.0,15.114,97.51,14.114,97.34,0.961,0.625,↑
4,БДДР,Христо Смирненски,27.7,4.2,19.482,70.33,15.282,65.03,0.082,0.322,↓
5,БДДР,Йовковци,92.179,9.0,83.576,90.67,74.576,89.66,0.099,0.719,↓
6,БДЧР,Тича,311.8,40.0,234.05,75.06,194.05,71.39,0.02,2.298,↓
7,БДЧР,Камчия,233.55,76.0,197.348,84.5,121.348,77.02,0.016,2.47,↓
8,БДЧР,Ясна поляна,32.32,7.55,18.113,56.04,10.563,42.64,0.012,0.336,↓
9,БДИБР,Асеновец,28.2,2.0,17.186,60.94,15.186,57.96,0.162,0.706,↓
10,БДИБР,Боровица,27.3,4.6,24.793,90.82,20.193,88.96,0.077,0.32,↓
11,БДЗБР,Студена,25.2,2.4,21.558,85.55,19.158,84.03,0.427,0.764,↓
12,БДЗБР,Дяково,35.4,8.0,28.669,80.99,20.669,75.43,0.232,0.232,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.893,87.25,0.793,85.87,,,↓
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.747,77.55,1.547,75.37,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,17.772,56.24,15.272,52.48,0.127,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.23,80.9,3.73,75.13,15.144,15.144,᷆
17,БДДР,Ястребино,62.3,3.9,33.974,54.53,30.074,51.5,0.081,0.266,↓
18,БДДР,Кула,20.25,0.7,7.724,38.14,7.024,35.93,0.012,0.127,↓
19,БДДР,Рабиша,43.2,2.4,12.597,29.16,10.197,24.99,0.012,0.023,↓
20,БДДР,Огоста,506.0,67.0,230.91,45.63,163.91,37.34,0.116,6.25,↓
21,БДДР,Сопот,60.908,1.3,32.42,53.23,31.12,52.21,0.012,0.417,↓
22,БДДР,Горни Дъбник,130.0,3.0,47.783,36.76,44.783,35.26,0.081,0.694,↓
23,БДДР,Бели Лом,25.5,3.2,8.459,33.17,5.259,23.58,0.058,0.058,~
24,БДЧР,Съединение,12.81,1.5,8.205,64.05,6.705,59.28,0.174,0.069,↑
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,183.827,55.71,162.827,52.69,0.011,3.021,↓
26,БДЧР,Порой,45.2,2.0,4.592,10.16,2.592,6.0,0.012,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.831,22.92,2.031,17.58,0.035,0.058,↓
28,БДИБР,Жребчево,400.0,30.0,149.45,37.36,119.45,32.28,3.905,2.458,↑
29,БДИБР,Малко Шарково,45.0,3.9,33.672,74.83,29.772,72.44,0.199,0.199,~
30,БДИБР,Домлян,26.074,0.7,6.748,25.88,6.048,23.83,0.089,0.257,↓
31,БДИБР,Пясъчник,206.53,3.4,33.6,16.27,30.2,14.87,0.734,0.202,↑
32,БДИБР,Тополница,137.108,20.0,32.588,23.77,12.588,10.75,1.771,0.556,↑
33,БДИБР,Тракиец,114.0,24.0,64.861,56.9,40.861,45.4,0.012,0.22,↓
34,БДЗБР,Пчелина,54.2,34.2,53.9,99.45,19.7,98.5,3.438,3.438,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,122.292,59.49,102.292,55.12,1.137,1.137,~
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,19.222,13.52,13.812,10.1,1.146,1.146,~
38,БДИБР,Белмекен,144.036,3.81,109.978,76.35,106.168,75.71,,,↓
39,БДИБР,Чаира,5.5,1.369,1.821,33.1,0.452,10.93,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,43.895,70.67,39.953,68.68,,,↓
41,БДИБР,Широка поляна,23.98,3.3,11.351,47.34,8.051,38.93,,,↓
42,БДИБР,Беглика,1.554,0.242,0.955,61.48,0.713,54.38,0.092,0.006,↑
43,БДИБР,Тошков Чарк,1.782,0.276,0.624,34.99,0.348,23.08,0.169,0.629,↓
44,БДИБР,Батак,310.298,19.95,176.115,56.76,156.165,53.79,4.541,8.554,↓
45,БДЗБР,Доспат,449.249,14.907,345.468,76.9,330.561,76.11,1.741,5.296,↓
46,БДИБР,Цанков камък,110.708,31.2,82.704,74.71,51.504,64.78,6.742,14.173,↓
47,БДИБР,Въча,226.12,24.52,176.958,78.26,152.438,75.61,20.064,13.258,↑
48,БДИБР,Кричим,20.256,1.73,19.226,94.91,17.496,94.44,13.771,20.483,↓
49,БДИБР,Кърджали,497.236,107.176,327.207,65.81,220.031,56.41,1.281,14.167,↓
50,БДИБР,Студен кладенец,387.772,90.667,231.928,59.81,141.261,47.55,15.094,17.375,↓
51,БДИБР,Ивайловград,156.702,59.526,142.391,90.87,82.865,85.27,16.502,9.861,↑
52,БДИБР,Розов кладенец,20.4,13.268,16.26,79.71,2.992,41.95,,,↓
